epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3733,1.21971,1.97127,1.23235,0.5886,0.53169,0.51675,0.30893,1.35208,1.48149,1.31424,0.000472805,0.000472805,0.000472805
2,59.8351,1.42673,1.57666,1.36531,0.78545,0.46016,0.49302,0.30051,1.34535,1.49669,1.33736,0.000948776,0.000948776,0.000948776
3,87.5469,1.48969,1.59731,1.36074,0.85314,0.26437,0.50145,0.28154,1.55178,1.88027,1.46683,0.0014233,0.0014233,0.0014233
4,118.979,1.53174,1.49836,1.39751,0.6709,0.50605,0.55371,0.31032,1.45875,1.70226,1.36003,0.0014241,0.0014241,0.0014241
5,145.779,1.45633,1.40412,1.33572,0.8067,0.49904,0.5375,0.30789,1.37164,1.42787,1.28027,0.00142029,0.00142029,0.00142029
6,172.036,1.39126,1.31249,1.29319,0.8102,0.43109,0.52434,0.35853,1.12973,1.41696,1.14945,0.00141541,0.00141541,0.00141541
7,197.63,1.37644,1.21254,1.27962,0.54056,0.60693,0.56478,0.34727,1.38051,1.33624,1.24685,0.00140946,0.00140946,0.00140946
8,223.573,1.35824,1.22289,1.28732,0.52984,0.58138,0.56815,0.36065,1.22578,1.24817,1.18772,0.00140244,0.00140244,0.00140244
